prompt,country,llm,topic_id,topic_name,topic_volume,topic_intents,topic_visibility,topic_difficulty,brief_response,mentioned_brands_count,sources_count,gap_mentions
landmarks in seattle,us,google_ai_overview,2199435035061380484,Seattle Landmarks and Attractions,7020,informational:70;navigational:8;commercial:21;transactional:1,0,66,"Seattle’s skyline and neighborhoods are defined by iconic architecture, historical districts, and waterfront attractions. Must-see sights include the Space Needle, Pike P...",30,0,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
outlawed dog breeds,ca,google_ai_overview,6377442539689026753,Banned Dog Breeds,3100,informational:80;navigational:5;commercial:8;transactional:7,0,53,"""Outlawed dog breeds,"" or dog breed-specific legislation (BSL), refers to laws that ban or restrict ownership of certain breeds, most often breeds like the Pit Bull Terri...",29,5,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
apartments near me top rated,us,google_ai_overview,12111610252777394483,Luxury and Top-Rated Apartments Near Me,110,informational:5;commercial:90;transactional:5,0,60,"To find top-rated apartments near you, start by searching on websites like or . These sites allow you to filter by location, price, and amenities, and often display user ...",29,3,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:1
rental apartments 700 a month,us,google_ai_overview,6079927241535094483,Affordable Apartments Under $700,6470,informational:56;navigational:6;commercial:6;transactional:32,0,80,"Finding apartments for $700 or less per month can be challenging, but it's possible in certain locations and with specific strategies. You may need to consider smaller un...",29,4,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
best site for looking for apartments,us,google_ai_overview,16820037320166020788,Rental Housing Search,2491890,informational:46;navigational:6;commercial:20;transactional:28,0,83,"Several popular websites are effective for finding apartments. , , and Rent.com are frequently recommended for their comprehensive listings and user-friendly interfaces. ...",29,7,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:1
yountville ca 94599,au,google_ai_overview,17037998243529957601,Napa Valley Hotels & Lodging,70,informational:90;navigational:5;commercial:5,0,50,"Yountville, CA (94599) is a premier luxury and culinary destination in the heart of Napa Valley . Spanning just 1.5 square miles, the walkable town offers world-class din...",29,22,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
fun things to do in philly with kids,us,google_ai_overview,15027263198371120819,Family Activities and Things to Do in Philadelphia,16830,informational:75;navigational:4;commercial:20;transactional:1,0,57,"Explore Philly’s kid-friendly highlights: let toddlers run wild at the Please Touch Museum , explore interactive science exhibits at The Franklin Institute , and see the ...",28,0,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
building construction blog,us,google_ai_overview,19444969689724094,Construction Industry Blogs and Resources,140,informational:33;navigational:2;commercial:62;transactional:3,0,54,"Building Construction Blog: Industry Insights & Trends Welcome to the building construction blog. This space delivers actionable insights, technical guides, and modern tr...",28,33,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
broomfield co us,in,google_ai_overview,11584293664044855213,"Broomfield, Colorado Local Guide",162,informational:25;navigational:25;commercial:25;transactional:25,0,53,"Broomfield, Colorado, is a unique, consolidated city and county located between Denver and Boulder . It offers a strong economy, 8,000+ acres of open space, and top attra...",28,15,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
cities with most tech jobs,us,google_ai_overview,16098684747644480552,Tech Hubs and IT Companies in North America,21480,informational:50;navigational:3;commercial:44;transactional:3,0,87,"The top U.S. cities for tech jobs—led by San Francisco , New York City , and Seattle —offer the highest concentration of software, AI, and IT roles. These tech hubs boast...",27,8,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
best mortgage brokerage,us,google_ai_overview,14739004668374741162,Mortgage Brokers and Lending Services,175390,informational:62;navigational:3;commercial:32;transactional:3,0,69,"There is no single ""best"" mortgage brokerage for everyone, as the ideal choice depends on your specific financial situation, loan needs, and priorities . The best option ...",27,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
business boston,us,google_ai_overview,5975577562042623878,Massachusetts Small Business Grants and Loans,1020,informational:81;navigational:5;commercial:13;transactional:1,0,67,"Boston is a booming global hub for business, ranking as the top US city for international corporate investment . Its economy is anchored by world-leading tech giants, mas...",27,13,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
good house paint colors,us,google_ai_overview,18042478267791612058,Exterior and Interior House Paint Colors and Visualizers,413220,informational:66;navigational:5;commercial:27;transactional:2,0,80,"The most reliable, universally loved house paint colors focus on warm whites, complex greiges, and nature-inspired earth tones that offer excellent resale value and adapt...",27,39,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
offer to purchase house form,us,google_ai_overview,3336998690168037546,Real Estate and Vehicle Sale Contracts,109190,informational:63;navigational:4;commercial:17;transactional:16,0,66,"To find an offer to purchase house form, you will need a legally binding document like a Purchase Agreement, which is best provided by your real estate agent or attorney ...",26,3,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
easy loan online instant approval,us,google_ai_overview,5930389254457604690,Personal and Payday Loan Options,7155090,informational:54;navigational:3;commercial:40;transactional:3,0,62,"The concept of an ""easy loan online with instant approval"" often refers to lenders who use automated systems to evaluate applications quickly, sometimes providing a decis...",26,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
websites for home builders,us,google_ai_overview,1007446688852582296,New Construction Homes and Builders,298030,informational:40;navigational:5;commercial:27;transactional:28,0,65,"Finding the right home builder websites depends on whether you are seeking a custom builder for a personal project, looking to purchase a new construction property, or bu...",26,9,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
best website to rent an apartment,us,google_ai_overview,16820037320166020788,Rental Housing Search,2491890,informational:46;navigational:6;commercial:20;transactional:28,0,83,"The best overall websites for apartment hunting are Zillow Rentals for finding private landlord listings, and Apartments.com for large complex availability. Both offer po...",26,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:1
astoria queens,us,google_ai_overview,16880887764492574953,Astoria and Waldorf Hotels and Attractions,111980,informational:71;navigational:7;commercial:12;transactional:10,0,63,"Astoria is a vibrant, multicultural neighborhood located in the northwestern corner of Queens, New York City . Famous for its world-class Greek cuisine, bustling commerci...",26,31,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
tech companies headquartered in seattle,us,google_ai_overview,16440682354134475366,Seattle Tech and Business Companies,19710,informational:73;navigational:4;commercial:22;transactional:1,0,83,"Seattle is a premier global technology hub, anchored by the headquarters of major industry giants like Amazon and Microsoft (the latter located just across the lake in Re...",26,9,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
real estate sale software,us,google_ai_overview,17990875090315917367,Real Estate CRM and Lead Generation,126150,informational:38;navigational:2;commercial:57;transactional:3,0,66,"Real estate sales software helps agents manage leads, automate marketing, and streamline transactions, with top options including powerful CRMs like Follow Up Boss, Wise ...",26,8,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
web listing directory,us,google_ai_overview,9546713006471311484,Local Business and Directory Optimization,81910,informational:63;navigational:4;commercial:31;transactional:2,0,85,"Web listing directories are curated databases of websites or businesses categorized by niche, location, or industry, designed to improve local SEO, visibility, and credib...",26,12,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
rental houses websites,us,google_ai_overview,16820037320166020788,Rental Housing Search,2491890,informational:46;navigational:6;commercial:20;transactional:28,0,83,"Popular websites for finding rental houses include Zillow, , , Trulia, and . For a broader selection, try the classifieds site Craigslist or the social media platform Fac...",26,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:1
what i wish i knew before moving to hawaii,us,google_ai_overview,6051439138513315126,Hawaii Moving and Relocation Services,7100,informational:80;navigational:5;commercial:13;transactional:2,0,64,"Before moving to Hawaii, be prepared for the high cost of living, which is exacerbated by the cost of shipping goods to the islands. Also, understand that ""island time"" i...",25,3,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
traveling nurse housing websites,us,google_ai_overview,10847699859030927605,Travel Nurse Housing and Jobs,41160,informational:62;navigational:3;commercial:32;transactional:3,0,63,"Top websites for finding traveling nurse housing in 2026 include specialized platforms like Furnished Finder and TravelNurseHousing.com , alongside flexible options such ...",25,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
farm lands near me,us,google_ai_overview,8429265877360941834,Real Estate and Land Market,892450,informational:33;navigational:6;commercial:11;transactional:50,0,71,"To find farm land for sale near your location, search online marketplaces and local real estate agent listings, as land prices vary significantly by region and land type....",25,5,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
u.s. brands list,us,google_ai_overview,11433265913794659759,Global Fashion and Brand Recognition,111820,informational:67;navigational:5;commercial:27;transactional:1,0,85,"Here are some prominent American brands across different industries: Technology & Online Services Amazon, Apple, Google, Netflix, Microsoft, Zillow, and Zoom. Food & Beve...",25,8,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
farmingdale ny 11735 usa,us,google_ai_overview,16407528392758647419,"Farmingdale, NY Community and Local Life",1730,informational:69;navigational:4;commercial:26;transactional:1,0,62,"Farmingdale, NY (ZIP code 11735) is a vibrant Long Island community located in Nassau County, about 35 miles southeast of Midtown Manhattan . It is famous for its lively,...",25,16,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
cash down payment for house,us,google_ai_overview,6194758729868157161,Down Payment on a House,223170,informational:85;navigational:5;commercial:10,0,87,"It is not possible to literally pay for a house down payment with stacks of physical cash on closing day . Instead, all funds must be properly documented, deposited into ...",25,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
bellevue bellevue wa,us,google_ai_overview,2954191280716651287,Bellevue City and Community Services,153230,informational:82;navigational:7;commercial:8;transactional:3,0,70,"Bellevue, Washington is a dynamic, high-tech city located in King County, directly across Lake Washington from Seattle . Known as a "" City in a Park ,"" Bellevue blends a ...",24,24,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
baseball sponsor,us,google_ai_overview,15970012026721971054,Major League Baseball Sponsorships and Partnerships,2330,informational:79;navigational:5;commercial:10;transactional:6,0,77,Baseball sponsorships range from local youth and high school teams to the official corporate partnerships of Major League Baseball (MLB) . Securing a sponsor provides cru...,24,10,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
pms insurance,us,google_ai_overview,9815486087515691182,Presbyterian Healthcare and Medical Centers in New Mexico,980,informational:54;navigational:29;commercial:15;transactional:2,0,53,"""PMS insurance"" is an ambiguous term that can refer to several different types of insurance or insurance-related systems, depending on the context . The acronym ""PMS"" can...",24,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
camden nj downtown,us,google_ai_overview,1343173613581099532,Camden Waterfront and Parks,6450,informational:68;navigational:13;commercial:9;transactional:10,0,58,"Downtown Camden, New Jersey, is a rapidly revitalizing district directly across the Delaware River from Philadelphia . Blending a vibrant, up-and-coming arts scene with h...",24,18,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
eastgate dr,us,google_ai_overview,11317082583570464795,Eastgate Square and Mall Locations,260,informational:90;navigational:5;commercial:5,0,58,"Eastgate Drive is a common street name found in numerous cities across the United States . Without a specified city or zip code, it is most frequently associated with maj...",24,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
kc background,us,google_ai_overview,14078163651084574784,Kansas City Chiefs and NFL Team Wallpapers,260,informational:90;navigational:5;commercial:5,0,65,"View all Kansas City spans the Missouri-Kansas border, anchored by Kansas City, Missouri (population ~521,000). Founded in the 1830s at the confluence of the Missouri and...",24,14,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
north carolina coastline towns,us,google_ai_overview,413027562972178449,North Carolina and South Carolina Beaches,263530,informational:55;navigational:3;commercial:37;transactional:5,0,66,"North Carolina's 300+ miles of coastline are divided into distinct regions. Whether you want the wild isolation of the Outer Banks, the historic maritime charm of the Cry...",24,26,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
east side detroit mi,us,google_ai_overview,11809100137997990451,Detroit City Council and Districts,1190,informational:90;navigational:5;commercial:5,0,52,"Detroit’s East Side encompasses the area east of Woodward Avenue out to the city limits, stretching along the Detroit River and I-94. It is a massive, diverse sector know...",24,0,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
realestate company,us,google_ai_overview,8520373158270261209,Real Estate and Housing Market,2580120,informational:49;navigational:6;commercial:24;transactional:21,0,82,"A real estate company is a business that assists clients in buying, selling, renting, or managing properties . These firms employ licensed agents and brokers who understa...",24,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
best sites for looking for apartments,us,google_ai_overview,16820037320166020788,Rental Housing Search,2491890,informational:46;navigational:6;commercial:20;transactional:28,0,83,"The best sites for finding apartments include comprehensive listing sites like Zillow, , and , which offer extensive databases and search filters for features like pet po...",24,7,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:1
huur studio flat,uk,google_ai_overview,18230290851084615410,Pet-Friendly Rental Apartments and Houses,21020,informational:64;navigational:4;commercial:19;transactional:13,0,66,"To find a studio flat to rent, you can use online property portals like Rightmove, Zoopla, and OnTheMarket. You can filter your search by location, price, and desired fea...",24,3,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
european real estate app,us,google_ai_overview,9945561227063469967,European Real Estate Platforms Similar to Zillow,1560,informational:69;navigational:4;commercial:26;transactional:1,0,53,"Some popular European real estate apps include Idealista (for Spain, Portugal, and Italy), Rightmove (for the UK), and SeLoger (for France). For a wider international rea...",24,10,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
how to buy house with bad credit history,us,google_ai_overview,11498845319261807134,Mobile and Manufactured Home Financing,293210,informational:62;navigational:3;commercial:32;transactional:3,0,71,"To buy a house with bad credit, qualify for a government-backed mortgage like an FHA loan or VA loan , which accept scores as low as 500 with a larger down payment. Save ...",23,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
craigslist like,us,google_ai_overview,11522917523653099657,Craigslist Adult and Dating Alternatives,38400,informational:53;navigational:6;commercial:33;transactional:8,0,73,"If you are looking for sites like Craigslist, the best platform depends on what you need. Popular alternatives like OfferUp or Facebook Marketplace offer better safety an...",23,5,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
cosners corner,us,google_ai_overview,16663670981882758218,Cosner's Corner and Surroundings,1880,informational:90;navigational:5;commercial:5,0,68,"Cosner's Corner is the largest mixed-use development in Spotsylvania County, Virginia , spanning nearly 1 million square feet. Located at the intersection of Route 17 (Mi...",23,11,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
nawark,us,google_ai_overview,2485805209182855389,Time in New Jersey and Newark,169830,informational:77;navigational:8;commercial:13;transactional:2,0,67,"Newark, New Jersey is the state’s most populous city and a major transportation hub, located just 8 miles west of Manhattan . Established in 1666, it blends a rich indust...",23,25,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
chicago illinois north side,us,google_ai_overview,14683590472682180367,Chicago Neighborhoods and Suburbs,94690,informational:70;navigational:4;commercial:24;transactional:2,0,69,"The North Side of Chicago, Illinois is the city’s most densely populated residential region , known for its historic tree-lined neighborhoods, bustling commercial distric...",23,23,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
university of memphis notable alumni,us,google_ai_overview,11556062266477619333,University of Memphis and Related Education Services,8920,informational:45;navigational:24;commercial:22;transactional:9,0,63,"The University of Memphis has produced numerous notable alumni across athletics, entertainment, business, and politics. Famous graduates include NBA legend Penny Hardaway...",23,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
multi property for sale near me,us,google_ai_overview,2854657867315504311,Multifamily Real Estate Market,145050,informational:54;navigational:5;commercial:11;transactional:30,0,84,"To find multi-property listings for sale, visit real estate websites like or and use their filters to search for multi-family homes, duplexes, triplexes, or apartment bui...",23,5,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
best housing apps,in,google_ai_overview,2235293195796533634,Real Estate Mobile Apps,10670,informational:34;navigational:2;commercial:51;transactional:13,0,65,"The best housing apps depend on your location and needs, with popular options including Zillow, Apartments.com, and Realtor.com for the US, and NoBroker, Housing.com, and...",23,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
rental app for landlords,us,google_ai_overview,17030904198916540946,Real Estate and Rental Property Accounting Software,20430,informational:45;navigational:3;commercial:49;transactional:3,0,59,"Popular rental apps for landlords include TenantCloud, TurboTenant, Innago, and DoorLoop, which offer features like online rent collection, tenant screening, lease manage...",23,4,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
chatham parkway savannah ga,us,google_ai_overview,7451008278342809809,Chatham County and Savannah Local Government and Services,16180,informational:84;navigational:8;commercial:7;transactional:1,0,60,"Chatham Parkway is a key 4-mile arterial road and suburban/commercial corridor in Savannah, Georgia . Located just off I-16 (Exit 162), it provides rapid access to downto...",23,10,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
what is philadelphia best known for,us,google_ai_overview,5321581575805896803,Philadelphia Local News and Activities,502280,informational:72;navigational:6;commercial:19;transactional:3,0,64,"Philadelphia is best known for its pivotal role in American history as the birthplace of the United States, its iconic food scene featuring cheesesteaks and hoagies, and ...",23,12,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:1;apartments.com:0
west new york ny,us,google_ai_overview,4682666686600692093,West New York and New Jersey Area,7330,informational:84;navigational:5;commercial:11,0,72,"Western New York (WNY) is the westernmost region of New York State, typically anchored by the major cities of Buffalo and Niagara Falls . Comprising up to eight counties,...",22,17,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
mahanoy city pa,us,google_ai_overview,8281018170379955317,Mahanoy City and District Legal & Civic Issues,1090,informational:90;navigational:5;commercial:5,0,69,"Mahanoy City is a historic borough located in northern Schuylkill County, Pennsylvania , situated deep within the state's famous Anthracite Coal Region. Encircled entirel...",22,25,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
new construction homes under 500k,us,google_ai_overview,6194364793017823328,Affordable Homes Market,2410,informational:29;navigational:4;commercial:17;transactional:50,0,74,"New construction homes under $500,000 are available in various locations across the US, offering a range of options in terms of size, style, and amenities. These homes ca...",22,6,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
claremont ca usa,ca,google_ai_overview,1297682297413380045,Claremont Places & Institutions,15040,informational:75;navigational:12;commercial:5;transactional:8,0,53,"Claremont, California, is a picturesque, highly educated suburb in eastern Los Angeles County, located 30 miles east of Downtown L.A. at the foothills of the San Gabriel ...",22,0,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
api scraper,us,google_ai_overview,3654391279631043594,Web Scraping and Data Extraction,2043280,informational:70;navigational:4;commercial:24;transactional:2,0,62,An API scraper (or Scraper API) is a tool that simplifies data collection by acting as an intermediary between you and a website . Instead of writing complex scripts to m...,22,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
first hill neighborhood seattle,us,google_ai_overview,5537482342898958998,First Hill Seattle Area,810,informational:78;navigational:4;commercial:17;transactional:1,0,56,"First Hill is one of Seattle’s oldest and most densely populated urban neighborhoods . Located just east of the downtown core, it rises steeply above Interstate 5. It is ...",22,24,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
house rentals sites,us,google_ai_overview,16820037320166020788,Rental Housing Search,2491890,informational:46;navigational:6;commercial:20;transactional:28,0,83,The best house rental sites vary by the length of your stay and whether you need a furnished or unfurnished property. Top platforms for long-term unfurnished leases inclu...,22,10,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
top 100 keywords,us,google_ai_overview,8493694898339643403,Top Search Trends and Keywords 2024,2630,informational:75;navigational:12;commercial:12;transactional:1,0,90,"The top 100 most-searched keywords generally consist of navigational terms (e.g., platforms like YouTube and Amazon), broad utility queries (e.g., weather, maps), and hig...",22,4,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
what does it cost to refinance a house,us,google_ai_overview,6242938220115036789,Mortgage Refinance and Points,178750,informational:76;navigational:4;commercial:19;transactional:1,0,81,"The cost to refinance a house typically ranges from 2% to 6% of the new loan amount in closing costs . For example, refinancing a $250,000 mortgage could cost between $5,...",21,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
places to change address when moving,us,google_ai_overview,3688011395992748249,Address Change and Moving Checklist,11490,informational:89;navigational:5;commercial:6,0,89,"When moving, your first priority is setting up official mail forwarding using the USPS Change of Address portal . Afterward, immediately update your local Department of M...",21,0,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
corporations headquartered in seattle,us,google_ai_overview,16440682354134475366,Seattle Tech and Business Companies,19710,informational:73;navigational:4;commercial:22;transactional:1,0,83,"Major companies headquartered in the Seattle metropolitan area span across global technology, retail, aerospace, and finance . While Seattle itself anchors retail and e-c...",21,8,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
perimeter center atlanta ga,us,google_ai_overview,7590995922997790387,Perimeter Mall and Surrounding Dining & Shopping,10050,informational:57;navigational:21;commercial:14;transactional:8,0,70,"Perimeter Center is a major ""edge city"" and commercial hub straddling I-285 just north of Atlanta, split between the cities of Dunwoody, Sandy Springs, and Brookhaven . I...",21,11,brightplace.ai:0;zillow.com:0;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:1
baseball sponsors,us,google_ai_overview,15970012026721971054,Major League Baseball Sponsorships and Partnerships,2330,informational:79;navigational:5;commercial:10;transactional:6,0,77,Baseball sponsors range from global Major League Baseball (MLB) corporate partners to local community business sponsorships for youth and high school teams . National bra...,21,9,brightplace.ai:0;zillow.com:1;1stchoiceproperties.com:0;apartmentlist.com:0;apartments.com:0
