Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
apartments near disney orlando,20,0,2.0,20.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near lockheed martin orlando,20,0,1.5,20.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near sea world orlando fl,20,0,0.0,20.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
disney cast member apartments,20,0,2.21,20.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
resort style apartments orlando,20,0,1.47,20.0,Very Easy,Commercial,Luxury,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
waterfront apartments orlando,20,0,0,20.0,Very Easy,Commercial,City + Apartments,Orlando,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
apartments near orange county convention center,10,0,0.0,10.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
universal team member housing,10,0,0.0,10.0,Very Easy,Commercial,General / Other,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments for rent orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near international drive,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near lake buena vista,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near orange county convention center,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near seaworld,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near universal orlando,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near vineland premium outlets,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments orlando under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Orlando,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
1 bedroom apartments southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments vineland,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom pet friendly apartments orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments for rent orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near international drive,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near seaworld,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near vineland premium outlets,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments orlando under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Orlando,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
2 bedroom apartments southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments vineland,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom pet friendly apartments orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments for rent orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near international drive,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near seaworld,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near vineland premium outlets,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments orlando under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Orlando,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
3 bedroom pet friendly apartments orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
all in cost of renting in orlando,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartment application fees orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartment vs townhome renting,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for commuters orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for graduate students orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for pet owners orlando,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for remote workers orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for travel nurses orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for young professionals orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in vineland,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,4,Long Tail,No,No local relevance,Generated (AEO)
apartments near international drive,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments near vineland premium outlets,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments orlando under 1200,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Orlando,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments orlando under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Orlando,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments orlando under 2000,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Orlando,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments that allow large dogs orlando,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with cabanas orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with cabanas southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with cabanas westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with lake view orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with lake view southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with lake view westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,6,Long Tail,No,No local relevance,Generated (AEO)
apartments with lakeside gazebo orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with lakeside gazebo southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with lakeside gazebo westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,6,Long Tail,No,No local relevance,Generated (AEO)
apartments with move in specials orlando,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with pet park orlando,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with pet park southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with pet park westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with same day approval orlando,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with spin studio orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with spin studio southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with spin studio westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with waterfront balcony orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with waterfront balcony southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with waterfront balcony westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with zero entry pool orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with zero entry pool southwest orlando,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with zero entry pool westwood blvd,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of international drive,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of lake buena vista,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of orange county convention center,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Orlando,Yes,Yes,T2,9,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
