Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
chamblee heights,590,22,0.75,460.2,Easy,Navigational,Competitor (Chamblee Heights),Atlanta,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
senior apartments atlanta,590,34,2.93,389.4,Medium,Commercial,Out of Market,Atlanta,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
summit embry hills,480,20,0.98,384.0,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,No,Yes,T2,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments for rent in atlanta georgia,590,42,1.25,342.2,Medium,Commercial,City + Apartments,Atlanta,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
apartments near emory university,480,32,2.71,326.4,Medium,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
cost of living atlanta ga,480,34,0.66,316.8,Medium,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
embry village,390,21,0.0,308.1,Easy,Commercial,General / Other,Atlanta,No,Yes,T2,2,Long Tail,Yes,Local intent,Semrush
embree hill apartments,390,26,1.21,288.6,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,3,Long Tail,No,No local relevance,Semrush
apartments for rent in north atlanta,320,19,1.0,259.2,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
chatsworth apartments chamblee,320,23,0.91,246.4,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
embry hills ga,320,23,0.86,246.4,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,No,Yes,T2,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments near emory,390,38,2.72,241.8,Medium,Transactional,Near Landmark,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
villas at hannover apartments,320,25,0.5,240.0,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T2,4,Long Tail,No,Wrong market/submarket,Semrush
apartments chamblee,320,29,2.43,227.2,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,2,Long Tail,Yes,Local intent,Semrush
the grove chamblee apartments,320,32,1.6,217.6,Medium,Navigational,Competitor (The Grove),Atlanta,Yes,Yes,T2,4,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments for rent in north atlanta ga,260,25,1.0,195.0,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
apartments for rent in buckhead atlanta,260,30,2.77,182.0,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T2,6,Long Tail,No,Wrong market/submarket,Semrush
apartments near lenox mall,210,20,2.27,168.0,Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments for rent atlanta,210,21,1.78,165.9,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
briarhill apartments ga,210,22,0.75,163.8,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,3,Long Tail,No,No local relevance,Semrush
apartments for rent in downtown atlanta,210,23,1.71,161.7,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T2,6,Long Tail,No,Wrong market/submarket,Semrush
doraville apartments,210,24,1.7,159.6,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,2,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments for rent atlanta,210,27,1.62,153.3,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
north atlanta apartments for rent,210,30,1.0,147.0,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
2 bedroom apartments for rent in atlanta ga,170,17,1.78,141.1,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,8,Long Tail,Yes,Local intent,Semrush
chamblee ga apartments,170,21,2.43,134.3,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
studio apartments for rent in atlanta ga,170,22,1.13,132.6,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
the manor chamblee,210,38,1.91,130.2,Medium,Navigational,Competitor (Manor Chamblee),Atlanta,No,Yes,T2,3,Gap,Yes,Top competitor - comparison/gap,Semrush
luxury apartments for rent in atlanta,210,39,1.83,128.1,Medium,Commercial,Luxury,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
studio apartments for rent in atlanta,170,26,1.13,125.8,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
embry hills apartments,140,11,1.81,124.6,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,No,Yes,T2,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments for rent in chamblee ga,140,18,2.16,114.8,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
pet friendly apartments atlanta,170,33,1.84,113.9,Medium,Commercial,Pet Friendly,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
how to make apartment feel like home,140,23,0.2,107.8,Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,7,Informational,Localize,National term - use city variant or FAQ,Semrush
villas of embry hills apartment homes,110,13,0.57,95.7,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,6,Gap,Yes,Top competitor - comparison/gap,Semrush
efficiency apartments for rent in atlanta ga,140,32,1.06,95.2,Medium,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
student apartments for rent atlanta ga,140,32,0.0,95.2,Medium,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
villas of embry hills apartment homes reviews,110,14,0.0,94.6,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,7,Gap,Yes,Top competitor - comparison/gap,Semrush
villas at embry hills,110,17,2.07,91.3,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Top competitor - comparison/gap,Semrush
furnished apartments in atlanta for rent,140,37,2.13,88.2,Medium,Commercial,Property / Renter Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
apartments for rent in atlanta under $1 000,110,20,1.08,88.0,Easy,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,8,Long Tail,Yes,Local intent,Semrush
apartments in chamblee georgia,110,20,2.5,88.0,Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
rosemont chamblee apartments,110,22,1.03,85.8,Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments for rent in atlanta ga,110,28,1.62,79.2,Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,8,Long Tail,Yes,Local intent,Semrush
apartments for rent downtown atlanta,110,30,1.74,77.0,Easy,Commercial,Out of Market,Atlanta,Yes,Yes,T2,5,Long Tail,No,Wrong market/submarket,Semrush
apartments near tucker ga,90,17,2.42,74.7,Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
affordable apartments for rent in atlanta ga,110,33,0.79,73.7,Medium,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
vue at embry hills reviews,90,21,0.0,71.1,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,5,Gap,Yes,Top competitor - comparison/gap,Semrush
the vue at embry hills,90,24,2.47,68.4,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,5,Gap,Yes,Top competitor - comparison/gap,Semrush
luxury apartments in chamblee ga,90,32,2.86,61.2,Medium,Commercial,Luxury,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near mercer university atlanta,70,15,2.59,59.5,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
embry hills apartments atlanta ga,70,16,0.0,58.8,Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,5,Gap,Yes,Top competitor - comparison/gap,Semrush
moving to atlanta ga,70,16,2.91,58.8,Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,4,Informational,Yes,Local intent,Semrush
luxury apartments chamblee,90,37,2.58,56.7,Medium,Commercial,Luxury,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
apartments near chamblee ga,70,20,2.67,56.0,Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
best apartments in chamblee ga,70,24,3.26,53.2,Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
verdant peachtree creek reviews,50,21,0.0,39.5,Easy,Navigational,Branded,Atlanta,Yes,Yes,T2,4,Quick Win,Yes,Own brand,Semrush
apartments with vaulted ceilings,30,0,1.23,30.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,4,Long Tail,Localize,National term - use city variant or FAQ,Semrush
verdant apartments atlanta,30,0,0,30.0,Very Easy,Navigational,Branded,Atlanta,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
2 bedroom apartments chamblee ga,20,0,0.0,20.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near buford highway,20,0,2.25,20.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near cdc atlanta,20,0,3.16,20.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartments near doraville marta station,20,0,2.34,20.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near northlake mall atlanta,20,0,0.0,20.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
average rent atlanta,20,0,0.65,20.0,Very Easy,Commercial,Price / Budget,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
is chamblee ga a good place to live,20,0,0.0,20.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,8,Informational,Yes,Local intent,Semrush
verdant peachtree creek apartments,20,0,1.91,20.0,Very Easy,Navigational,Branded,Atlanta,Yes,Yes,T2,4,Quick Win,Yes,Own brand,Semrush
buford highway apartments,10,0,2.39,10.0,Very Easy,Commercial,City + Apartments,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
gated apartments atlanta,10,0,1.81,10.0,Very Easy,Commercial,Amenity,Atlanta,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments atlanta under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
1 bedroom apartments chamblee,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments doraville,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,5,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near buford highway,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near doraville marta station,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near i-85,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,No,No local relevance,Generated (AEO)
1 bedroom apartments northeast atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom pet friendly apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments atlanta under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
2 bedroom apartments chamblee,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments doraville,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,5,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,No,No local relevance,Generated (AEO)
2 bedroom apartments northeast atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom pet friendly apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments atlanta under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
3 bedroom apartments for rent atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,No,No local relevance,Generated (AEO)
3 bedroom pet friendly apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
all in cost of renting in atlanta,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartment application fees atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartment vs townhome renting,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments atlanta under 1200,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments atlanta under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
