Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
boston luxury residences,880,0,1.23,880.0,Very Easy,Commercial,Luxury,Boston,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
apartments for rent boston ma,1900,0,0.54,1900.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments for rent in boston,1900,0,0.54,1900.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
boston ma apartments for rent,1300,0,0.54,1300.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
2 bedroom apt boston,1000,0,0.66,1000.0,Very Easy,Commercial,Bedroom Type,Boston,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
3 bedroom apartments boston,720,0,0.61,720.0,Very Easy,Commercial,Bedroom Type,Boston,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
efficiency apartments boston,1300,0,0.67,1300.0,Very Easy,Commercial,Bedroom Type,Boston,No,Yes,T2,3,Long Tail,Yes,Studio synonym,Semrush
30 dalton,2400,0,1.00,2400.0,Very Easy,Navigational,Competitor,Boston,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
the metlo,1900,0,0.44,1900.0,Very Easy,Navigational,Competitor,Boston,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
the sudbury,1900,0,1.08,1900.0,Very Easy,Navigational,Competitor,Boston,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
park 151,2900,0,0.65,2900.0,Very Easy,Navigational,Competitor,Boston,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
212 stuart,1300,0,0.82,1300.0,Very Easy,Navigational,Competitor,Boston,No,Yes,T1,2,Gap,Yes,Top competitor,Semrush
1 back bay boston,1000,0,2.52,1000.0,Very Easy,Navigational,Competitor,Boston,Yes,Yes,T2,4,Gap,Yes,Competitor,Semrush
boston pet friendly apartments,260,0,0.91,260.0,Very Easy,Commercial,Pet Friendly,Boston,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
pet friendly apartments boston ma,110,0,0.91,110.0,Very Easy,Commercial,Pet Friendly,Boston,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
dog friendly apartments boston,70,0,0.76,70.0,Very Easy,Commercial,Pet Friendly,Boston,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
pet friendly apartments for rent in boston,70,0,0.65,70.0,Very Easy,Commercial,Pet Friendly,Boston,Yes,Yes,T2,7,Long Tail,Yes,Local intent,Semrush
how to find an apartment in boston,110,0,0.90,110.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,7,Informational,Yes,Renter question,Semrush
how much is an apartment in boston,90,0,0.36,90.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,7,Informational,Yes,Renter question,Semrush
how much is a 1 bedroom apartment in boston,20,0,0.43,20.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,9,Informational,Yes,Pricing question,Semrush
how much is a 2 bedroom apartment in boston,20,0,1.04,20.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,9,Informational,Yes,Pricing question,Semrush
how much is a studio apartment in boston,20,0,0.87,20.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,8,Informational,Yes,Pricing question,Semrush
how to rent an apartment in boston,20,0,1.31,20.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,7,Informational,Yes,Renter question,Semrush
when to look for apartments in boston,20,0,0.00,20.0,Very Easy,Informational,Renter Education,Boston,Yes,Yes,T2,7,Informational,Yes,Timing question,Semrush
one canal apartments boston ma,40,0,0.59,40.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Quick Win,Yes,Own brand,Semrush
one canal boston apartments price,20,0,0.30,20.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Quick Win,Yes,Own brand pricing,Semrush
apartments with rooftop pool boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,5,Long Tail,Yes,Unique amenity (rooftop pool),Generated (Research)
apartments with concierge boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,4,Long Tail,Yes,Amenity keyword,Generated (Research)
smart home apartments boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,4,Long Tail,Yes,Tech amenity differentiator,Generated (Research)
apartments with high ceilings boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,5,Long Tail,Yes,Unique differentiator (13ft),Generated (Research)
floor to ceiling windows apartments boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,6,Long Tail,Yes,Interior differentiator,Generated (Research)
luxury high rise apartments boston,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Boston,Yes,Yes,T2,5,Long Tail,Yes,Property type keyword,Generated (Research)
apartments near north station boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Transit proximity,Generated (Research)
apartments near td garden boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Landmark proximity,Generated (Research)
apartments near mgh boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,4,Long Tail,Yes,Employer proximity,Generated (Research)
apartments near government center boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Government proximity,Generated (Research)
apartments near beacon hill boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Neighborhood proximity,Generated (Research)
apartments near north end boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Neighborhood proximity,Generated (Research)
apartments near faneuil hall boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Landmark proximity,Generated (Research)
apartments near charles river boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,5,Long Tail,Yes,Recreation proximity,Generated (Research)
west end apartments boston,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,4,Long Tail,Yes,Neighborhood keyword,Generated (Research)
bulfinch triangle apartments boston,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,4,Long Tail,Yes,Micro-neighborhood,Generated (Research)
apartments with in unit washer dryer boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,7,Long Tail,Yes,Amenity keyword,Generated (Research)
apartments with quartz countertops boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,5,Long Tail,Yes,Interior feature,Generated (Research)
apartments with dog park boston,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Boston,Yes,Yes,T2,5,Long Tail,Yes,Pet amenity,Generated (Research)
apartments with pet spa boston,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Boston,Yes,Yes,T2,5,Long Tail,Yes,Unique pet amenity,Generated (Research)
studio apartments boston west end,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Boston,Yes,Yes,T2,5,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
1 bedroom apartments boston west end,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Boston,Yes,Yes,T2,6,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
2 bedroom apartments boston west end,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Boston,Yes,Yes,T2,6,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
3 bedroom apartments boston west end,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Boston,Yes,Yes,T2,6,Long Tail,Yes,Bedroom + neighborhood,Generated (Research)
apartments 02114 boston,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Boston,No,Yes,T2,3,Long Tail,Yes,Zip code search,Generated (Research)
one canal apartments reviews,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,4,Quick Win,Yes,Brand reputation,Generated (AEO)
one canal apartments floor plans,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Quick Win,Yes,Brand informational,Generated (AEO)
one canal apartments pricing,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,4,Quick Win,Yes,Brand transactional,Generated (AEO)
one canal pet policy,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,4,Quick Win,Yes,Brand pet policy,Generated (AEO)
one canal apartments amenities,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,4,Quick Win,Yes,Brand amenities,Generated (AEO)
is one canal apartments pet friendly,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,6,Quick Win,Yes,Brand question,Generated (AEO)
does one canal have a rooftop pool,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,7,Quick Win,Yes,Brand question,Generated (AEO)
how much is rent at one canal boston,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,8,Quick Win,Yes,Brand pricing question,Generated (AEO)
one canal vs 30 dalton,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Gap,Yes,Brand vs competitor,Generated (AEO)
one canal vs the sudbury,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Gap,Yes,Brand vs competitor,Generated (AEO)
one canal vs park 151,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Gap,Yes,Brand vs competitor,Generated (AEO)
one canal vs the metlo,0,0,0.0,0.0,Very Easy,Navigational,Branded,Boston,Yes,Yes,T2,5,Gap,Yes,Brand vs competitor,Generated (AEO)
what renters should know about one canal boston,0,0,0.0,0.0,Very Easy,Informational,Branded,Boston,Yes,Yes,T2,8,Informational,Yes,AEO article target,Generated (AEO)
living at one canal boston pros and cons,0,0,0.0,0.0,Very Easy,Informational,Branded,Boston,Yes,Yes,T2,8,Informational,Yes,AEO article target,Generated (AEO)
one canal boston honest review,0,0,0.0,0.0,Very Easy,Informational,Branded,Boston,Yes,Yes,T2,5,Informational,Yes,AEO article target,Generated (AEO)
best apartments in boston west end,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Boston,Yes,Yes,T2,6,Long Tail,Yes,Neighborhood best-of,Generated (AEO)
luxury apartments near north station boston,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Boston,Yes,Yes,T2,6,Long Tail,Yes,Luxury + transit,Generated (AEO)
apartments boston with city views,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,5,Long Tail,Yes,View amenity,Generated (AEO)
walkable apartments boston west end,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,5,Long Tail,Yes,Walkability keyword,Generated (AEO)
smoke free apartments boston,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Boston,Yes,Yes,T2,4,Long Tail,Yes,Smoke-free differentiator,Generated (AEO)
apartments near museum of science boston,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,6,Long Tail,Yes,Landmark proximity,Generated (Research)
apartments near boston common,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Boston,Yes,Yes,T2,4,Long Tail,Yes,Landmark proximity,Generated (Research)
